"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Express Order","Express Order"
"Classic Order","Classic Order"
"Items","Items"
"Qty","Qty"
"Unit price","Unit price"
"An error occurred while adding ""%s"".","An error occurred while adding ""%s""."
"Products were added to your shopping cart.","Products were added to your shopping cart."
"Something get wrong, please try again later.","Something get wrong, please try again later."
"An error occurred. Please refresh this page and re-try.","An error occurred. Please refresh this page and re-try."
"Please select product(s).","Please select product(s)."
"All","All"
"Clear All Filters","Clear All Filters"
"My Cart","My Cart"
"My Account","My Account"
"Our Shops","Our Shops"
"Customer service","Customer servic"
"The spirit Sabre","The spirit Sabre"
"Home","Home"
"View gallery","View gallery"
"Articles","Articles"
"At this moment, ","At this moment, "
"SABRE with Akin & Suri ...","SABRE with Akin & Suri ..."
"My cart","My cart"
"command","command"
"Please select an agency","Please select an agency"
"You must select an agency to continue","You must select an agency to continue"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Item was removed successfully.","Item was removed successfully."
"Error occurred. Try to refresh page.","Error occurred. Try to refresh page."
"Your shipping address has been replaced by billing address.","Your shipping address has been replaced by billing address."
"Customer Service","Customer Service"
"All model articles","All model articles"
"Complete my housekeeping","Complete my housekeeping"
"An error occurred while processing ""%s"".","An error occurred while processing ""%s""."
"Your shopping cart has been updated.","Your shopping cart has been updated."
"Update my service","Update my service"
"Update my housekeeping","Update my housekeeping"
"Terms of Sales","Terms of Sales"
"Order with obligation to purchase","Order with obligation to purchase"
"Please, visit our other websites : ","Please, visit our other websites : "
"Please, visit our other website : ","Please, visit our other website : "
"map_Shop","Shop"
"map_PointOfSale","Point of sale"
"%s recommends","%s recommends"
"Back to map","Back to map"
"<span>You have already</span><span>an account?</span>","<span>You have already</span><span>an account?</span>"
"<span>Sign up</span><span>to create an account</span>","<span>Sign up</span><span>to create an account</span>"
