"PLEASE LOG IN","VEUILLEZ VOUS IDENTIFIER"
"SAVE TIME!","GAGNEZ DU TEMPS!"
"Enjoy many advantages:","Profitez de nombreux avantages:"
"Shop faster and easier","Commander plus vite et plus facilement"
"See and follow your orders","Consultez et suivez vos commandes"
"Check in","S'enregistrer"
"Command","Commander"
"without registration","sans créer de compte"
"Mail address*","Adresse mail*"
"Password*","Mot de passe*"
"  Required Fields","  Champs obligatoires"
"Item(s) %s to %s of %s total","Article(s) %s à %s sur un total de %s"
"Express Order","Commande rapide"
"Classic Order","Commande classique"
"Items","Articles"
"Qty","Qté"
"Unit price","Prix unitaire"
"An error occurred while adding ""%s"".","Une erreur est survenue lors de l'ajout de ""%s""."
"Products were added to your shopping cart.","Vos produits ont été ajoutés au panier."
"Something get wrong, please try again later.","Une error est survenue, merci de réessayer ultérieurement."
"An error occurred. Please refresh this page and re-try.","Une erreur est survenue. Veuillez rafraîchir la page et réessayer."
"Please select product(s).","Sélectionnez un ou des produits."
"All","Tout"
"Clear All Filters","Effacer tout les filtres"
"Place","Passez"
"Order","La commande"
"I command","Je commande"
"with obligation for payment","avec obligation de paiement"
"Express Order","Commande rapide"
"Classic Order","Commande classique"
"Items","Articles"
"Qty","Qté"
"Unit price","Prix unitaire"
"An error occurred while adding ""%s"".","Une erreur est survenue lors de l'ajout de ""%s""."
"Products were added to your shopping cart.","Vos produits ont été ajoutés au panier."
"Something get wrong, please try again later.","Une error est survenue, merci de réessayer ultérieurement."
"An error occurred. Please refresh this page and re-try.","Une erreur est survenue. Veuillez rafraîchir la page et réessayer."
"Please select product(s).","Sélectionnez un ou des produits."
"All","Tout"
"Clear All Filters","Effacer les filtres"
"my order","ma commande"
"items","articles"
"item","article"
"Product image","Image du produit"
"Product name","Nom du produit"
"Edit","éditer"
"Remove","Supp."
"validate your","valider votre"
"Enter your discount code","Saisissez votre code de réduction"
"Estimate shipping","Estimer la livraison"
"Choose your destination to estimate shipping costs","Choisissez votre destination pour estimer les frais de port"
"Postal code","Code postale"
"Estimate","Obtenir une estimation"
"My Cart","Mon panier"
"My Account","Mon compte"
"Our Shops","Nos boutiques"
"Customer service","Service client"
"The spirit Sabre","L'esprit Sabre"
"Home","Accueil"
"order","commande"
"View gallery","Voir la galerie"
"Articles","d'articles"
"At this moment, ","En ce moment, "
"SABRE with Akin & Suri ...","SABRE avec Akin & Suri…"
"My cart","Mon panier"
"command","commande"
"Please select an agency","Choisir votre boutique Sabre"
"You must select an agency to continue","Vous devez sélectionner une agence pour continuer"
"Register","S'enregistrer"
"Please enter the following information to create your account.","S'il vous plaît entrer les informations ci-dessous pour créer votre compte."
"Middle Name/Initial","Deuxième Prénom/Initiale"
"Some of the products are currently out of stock.","Certains de ces produits sont actuellement indisponibles."
"View Shopping Cart","Mon panier"
"Item was removed successfully.","L'article a été retiré avec succès."
"Error occurred. Try to refresh page."," Une erreur s'est produite vous devez actualiser la page."
"Additional Address","Adresses Supplémentaires"
"Address ","Adresse "
"Back to the list","Retour à la liste"
"More Informations","plus d'informations"
"Your shipping address has been replaced by billing address.","Votre adresse de livraison a été remplacée par celle de facturation."
"Customer Service","Service Client"
"Reset","Réinitialiser"
"Item in your order","Article de votre commande"
"Items in your order","Articles de votre commande"
"All ","Tous les "
"Sizing guide","Guide des tailles"
"The product will be available soon","Le produit sera bientôt disponible"
"Choose your color","Choisissez votre coloris"
"Model range","Tous les articles du modèle"
"Complete my housekeeping","Compléter ma ménagère"
"Complete my service","Compléter mon service"
"An error occurred while processing ""%s"".","Une erreur est survenue lors du traitement de ""%s""."
"Your shopping cart has been updated.","Votre panier a été mis à jour."
"Update my service","Mettre à jour mon service"
"Update my housekeeping","Mettre à jour ma ménagère"
"All colors","Tout"
"All models","Tous les choix"
"All items","Tous les choix"
"Terms of Sales","Conditions générales de vente"
"Order with obligation to purchase","Commande avec obligation d'achat"
"Please, visit our other websites : ","Visitez nos autres sites : "
"Please, visit our other website : ","Visitez notre autre site : "
"map_Shop","Boutique"
"map_PointOfSale","Point de vente"
"%s recommends","%s vous conseille"
"Back to map","Retour à la carte"
"<span>You have already</span><span>an account?</span>","<span>Vous avez déjà</span><span>un compte ?</span>"
"<span>Sign up</span><span>to create an account</span>","<span>Enregistrez vous</span><span>pour créer un compte</span>"
