"aYaline Dataflow Manager","aYaline Dataflow Manager"
"Dataflow Manager Email","Dataflow Manager Email"
"Import Dataflow Manager Email","Import Dataflow Manager Email"
"Export Dataflow Manager Email","Export Dataflow Manager Email"
"Cache for aYaline Dataflow Manager","Cache for aYaline Dataflow Manager"
"Dataflow Manager configuration (dataflow.xml).","Dataflow Manager configuration (dataflow.xml)."
"Dataflow Manager","Dataflow Manager"
"Emails Management","Emails Management"
"Email Template","Email Template"
"Sender","Sender"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Recipient","Recipient"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Send copy to","Send copy to"
"separated by comas","separated by comas"
"Logs Management","Logs Management"
"Relative log path","Relative log path"
"If yes, file logs are in Magento directory","If yes, file logs are in Magento directory"
"Log path","Log path"
"Path MUST begin by / and NOT finish by /","Path MUST begin by / and NOT finish by /"
"Import","Import"
"Email","Email"
"Path","Path"
"Base Path","Base Path"
