"Image","Image"
"Extensions allowed: jpg, jpeg, gif and png","Extensions allowed: jpg, jpeg, gif and png"
"Shop Group","Shop Group"
"General","General"
"Save","Save"
"Delete","Delete"
"New Shop Group","New Shop Group"
"Save and Continue Edit","Save and Continue Edit"
"ID","ID"
"Name","Name"
"Action","Action"
"Edit","Edit"
"Are you sure?","Are you sure?"
"New Shop","New Shop"
"Title","Title"
"Postcode","Postcode"
"City","City"
"Country","Country"
"State","State"
"Manage Shop Group","Manage Shop Group"
"Create New Shop Group","Create New Shop Group"
"Manage Shops","Manage Shops"
"Create New Shop","Create New Shop"
"Manage Group","Manage Group"
"Shops","Shops"
"Please select a shop","Please select a shop"
"The shop has been deleted.","The shop has been deleted."
"The shop has been saved.","The shop has been saved."
"An error occurred while saving the shop.","An error occurred while saving the shop."
"Please select shop(s).","Please select shop(s)."
"The group has been deleted","The group has been deleted"
"The group has been saved","The group has been saved"
"An error occurred while saving the group.","An error occurred while saving the group."
"Please select shops group.","Please select shops group."
"Image name with extension","Image name with extension"
"Shop's schedules","Shop's schedules"
"Day","Day"
"Start hour PM","Start hour PM"
"End hour PM","End hour PM"
"Start hour AM","Start hour AM"
"End hour AM","End hour AM"
"Position","Position"
"Failed","Failed"
"Schedules is required","Schedules is required"
"Updated active at","Updated active at"
"Yes","Yes"
"No","No"
"Address","Address"
"Additional address","Additionnal address"
"All Shops","All Shops"
"Find the shop nearest you by clicking on the interactive map or the full list of shops","Find the shop nearest you by clicking on the interactive map or the full list of shops"
"Shop List by Department","Shop List by Department"
"New shop","New shop"
"Shop's informations","Shop's informations"
"Coordinates","Coordinates"
"Opening hours","Opening hours"
"Special opening hours","Special opening hours"
"all the shops","all the shops"
"Postcodes","Postcodes"
"Schedules","Schedules"
"Specials Schedules","Specials Schedules"
"Marker","Marker"
