"aYaline Dataflow Manager","aYaline Dataflow Manager"
"Dataflow Manager Email","Dataflow Manager Email"
"Import Dataflow Manager Email","Import Dataflow Manager Email"
"Export Dataflow Manager Email","Export Dataflow Manager Email"
"Cache for aYaline Dataflow Manager","Cache pour aYaline Dataflow Manager"
"Dataflow Manager configuration (dataflow.xml).","Dataflow Manager configuration (dataflow.xml)."
"Dataflow Manager","Dataflow Manager"
"Emails Management","Gestion des emails"
"Email Template","Gabarit d'email"
"Sender","Expéditieur"
"Sender Name","Nom de l'expéditeur"
"Sender Email","Email de l'expéditeur"
"Recipient","Destinataire"
"Recipient Name","Nom du destinataire"
"Recipient Email","Email du destinataire"
"Send copy to","Envoyer une copie à"
"separated by comas","séparé par un virgule"
"Logs Management","Gestion des logs"
"Relative log path","Chemin de log relatif"
"If yes, file logs are in Magento directory","Si oui, les fichiers de log seront dans le répertoire Magento"
"Log path","Chemin de log"
"Path MUST begin by / and NOT finish by /","Le chemin DOIT commencer par / et NE PAS finir par /"
"Import","Import"
"Email","Email"
"Path","Chemin"
"Base Path","Chemin de base"
