"Google Universal Analytics","Google Universal Analytics"
"General","Générale"
"Enable","Activer"
"Web Property ID","Web Property ID"
"Use Alternative Asynchronous Snippet","Utiliser le script Asynchrone"
"Anonymize IP","Anonymiser les IPs"
"Force SSL","Utiliser la version SSL du script"
"Debugging","Débogage"
"Debug","Déboguer"
"Trace","Pile d'appel"
"Create Only Fields","Create Only Fields"
"Customize","Personnaliser"
"Value","Valeur"
"Default: 100","Par défaut : 100"
"Default: 1","Par défaut : 1"
"Default: No","Par défaut : Non"
"Default: Yes","Par défaut : Oui"
"Default: _ga","Par défaut : _ga"
"Default: leave empty","Par défaut : laisser vide"
"Default: 63072000 (two years)","Par défaut : 63072000 (2 ans)"
"User","Utilisateur"
"User ID","Identifiant utilisateur"
"Ecommerce","Ecommerce"
"Enable Order Item Category","Activer la catégorie de l'item commandé"
"Add closest category for order item.","Ajout de la catégorie la plus proche de l'item."
"Enable Onepage Checkout must be set to ""yes"": Sales > Checkout > Checkout Options.","Ventes > Commander > Options de règlement > Activer le passage de commande en une seule page : ""oui""."
"Register step label","Libellé de l'étape inscription"
"Billing step label","Libellé de l'étape facturation"
"Shipping step label","Libellé de l'étape expédition"
"Shipping method step label","Libellé de l'étape méthode livraison"
"Payment step label","Libellé de l'étape Paiement"
"Review step label","Libellé de l'étape review"
"Save order step label","Libellé de l'étape enregistrement de la commande"
"Steps","Etapes"
